timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1701526343.272,19.609,19.609,-19.609,0.005,0.0011,0.0095,-0.01,-0.031,-0.115
1701526343.312,19.609,19.609,-19.609,-0.0006000000000000001,-0.001,0.0273,0.131,0.496,-0.023
1701526343.352,19.609,19.609,-19.609,-0.00030000000000000003,0.0012000000000000001,-0.0506,0.108,0.492,0.023
1701526343.392,19.609,19.609,-19.609,0.0001,-0.00030000000000000003,0.040600000000000004,0.021,0.41100000000000003,0.018000000000000002
1701526343.432,19.609,19.609,-19.609,-0.0068000000000000005,0.0016,-0.016,-0.014,0.436,0.001
1701526343.472,19.609,19.609,-19.609,0.0,0.0015,-0.0341,0.009000000000000001,0.459,-0.031
1701526343.512,19.609,19.609,-19.609,-0.00030000000000000003,0.0005,0.0262,0.049,0.41600000000000004,-0.093
1701526343.552,19.609,19.609,-19.609,-0.0007,-0.0006000000000000001,0.0109,0.04,0.268,-0.111
1701526343.592,19.609,19.609,-19.609,-0.0012000000000000001,0.0006000000000000001,-0.0507,0.002,0.28500000000000003,-0.078
1701526343.632,19.609,19.609,-19.609,0.0011,-0.0004,0.0408,0.003,0.28,-0.09
1701526343.672,19.609,19.609,-19.609,0.001,0.0004,-0.005,-0.017,0.242,-0.117
1701526343.712,19.609,19.609,-19.609,-0.0015,-0.0008,-0.0366,0.0,0.203,-0.12
1701526343.752,19.609,19.609,-19.609,-0.0009000000000000001,0.0028,0.0247,0.003,0.14400000000000002,-0.107
1701526343.792,19.609,19.609,-19.609,0.0012000000000000001,-0.0005,-0.055400000000000005,-0.013000000000000001,0.135,-0.08700000000000001
1701526343.832,19.609,19.609,-19.609,-0.0035,0.00030000000000000003,0.0429,-0.046,0.052000000000000005,-0.094
1701526343.872,19.609,19.609,-19.609,-0.0013000000000000002,0.0,-0.0128,-0.02,0.023,-0.106
1701526343.912,19.609,19.609,-19.609,0.00030000000000000003,-0.0012000000000000001,-0.032100000000000004,-0.059000000000000004,-0.037,-0.099
