timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1701526823.956,19.609,19.609,-19.609,-0.00030000000000000003,0.0022,0.0001,0.125,-0.198,-0.164
1701526823.996,19.609,19.609,-19.609,0.0,0.0,-0.0039000000000000003,0.126,-0.192,-0.16
1701526824.036,19.609,19.609,-19.609,0.0035,-0.0014,-0.0079,0.10400000000000001,-0.14300000000000002,-0.136
1701526824.076,19.609,19.609,-19.609,0.0019,-0.0012000000000000001,-0.0004,0.112,-0.089,-0.14
1701526824.116,19.609,19.609,-19.609,-0.0005,0.0,-0.0036000000000000003,0.08600000000000001,-0.051000000000000004,-0.15
1701526824.156,19.609,19.609,-19.609,-0.0007,0.0004,0.0005,0.045,-0.022,-0.171
1701526824.196,19.609,19.609,-19.609,0.0022,-0.0006000000000000001,-0.0015,0.008,0.033,-0.15
1701526824.236,19.609,19.609,-19.609,0.0024000000000000002,0.0034000000000000002,-0.0023,0.0,0.09,-0.127
1701526824.276,19.609,19.609,-19.609,-0.0007,-0.0004,-0.0017000000000000001,-0.008,0.136,-0.089
1701526824.316,19.609,19.609,-19.609,-0.0001,-0.0001,-0.0021000000000000003,-0.021,0.215,-0.075
1701526824.356,19.609,19.609,-19.609,-0.0006000000000000001,-0.0001,-0.0187,-0.014,0.224,-0.10300000000000001
1701526824.396,19.609,19.609,-19.609,-0.002,-0.0004,0.0068000000000000005,0.011,0.216,-0.114
1701526824.436,19.609,19.609,-19.609,0.0012000000000000001,-0.0006000000000000001,0.0057,0.014,0.321,-0.082
1701526824.476,19.609,19.609,-19.609,0.0001,0.0014,-0.0086,0.029,0.336,-0.08
1701526824.516,19.609,19.609,-19.609,-0.0016,-0.0027,0.0046,0.064,0.335,-0.08
1701526824.556,19.609,19.609,-19.609,-0.0004,-0.0018000000000000002,-0.0004,0.068,0.309,-0.10300000000000001
1701526824.596,19.609,19.609,-19.609,0.0012000000000000001,-0.0026000000000000003,-0.0098,0.012,0.20400000000000001,-0.043000000000000003
1701526824.636,19.609,19.609,-19.609,-0.00030000000000000003,-0.0009000000000000001,-0.0004,-0.018000000000000002,0.178,-0.015
1701526824.676,19.609,19.609,-19.609,0.0009000000000000001,-0.0017000000000000001,0.0026000000000000003,-0.076,0.20400000000000001,0.019
1701526824.716,19.609,19.609,-19.609,0.0034000000000000002,0.0005,-0.0002,-0.125,0.216,0.029
1701526824.756,19.609,19.609,-19.609,0.0016,0.0,0.0105,-0.17200000000000001,0.218,-0.002
1701526824.796,19.609,19.609,-19.609,0.001,0.0007,-0.0106,-0.191,0.11900000000000001,-0.021
1701526824.836,19.609,19.609,-19.609,-0.0018000000000000002,-0.00030000000000000003,0.0035,-0.213,-0.019,-0.022
1701526824.876,19.609,19.609,-19.609,0.0,0.0005,0.0038,-0.2,-0.067,-0.027
1701526824.916,19.609,19.609,-19.609,-0.0002,-0.0004,-0.005200000000000001,-0.188,-0.09,-0.062
1701526824.9559999,19.609,19.609,-19.609,0.002,-0.0013000000000000002,-0.0025,-0.17500000000000002,-0.123,-0.078
1701526824.996,19.609,19.609,-19.609,0.001,0.0004,0.0081,-0.14,-0.203,-0.081
1701526825.036,19.609,19.609,-19.609,-0.0027,-0.0012000000000000001,-0.008400000000000001,-0.088,-0.23500000000000001,-0.06
1701526825.076,19.609,19.609,-19.609,0.001,-0.0008,0.0029000000000000002,-0.067,-0.25,-0.059000000000000004
1701526825.116,19.609,19.609,-19.609,0.0009000000000000001,0.0012000000000000001,0.0014,-0.075,-0.264,-0.047
1701526825.156,19.609,19.609,-19.609,0.0006000000000000001,0.0004,-0.0012000000000000001,-0.061,-0.242,-0.02
1701526825.1959999,19.609,19.609,-19.609,0.00030000000000000003,-0.0008,-0.0103,-0.053,-0.246,0.04
