timestamp,acc_x,acc_y,acc_z,magn_x,magn_y,magn_z,gyro_x,gyro_y,gyro_z
1701528342.928,19.609,19.609,-19.609,0.0027,0.0025,-0.0001,-0.095,-0.1,-0.058
1701528342.968,19.609,19.609,-19.609,0.0006000000000000001,0.0033,-0.0012000000000000001,-0.066,-0.091,-0.062
1701528343.008,19.609,19.609,-19.609,0.0035,0.0058000000000000005,0.0016,-0.055,-0.091,-0.07200000000000001
1701528343.0479999,19.609,19.609,-19.609,0.003,0.0016,-0.0006000000000000001,-0.023,-0.043000000000000003,-0.097
1701528343.088,19.609,19.609,-19.609,0.0007,0.0039000000000000003,-0.002,-0.017,-0.029,-0.105
1701528343.128,19.609,19.609,-19.609,0.0018000000000000002,0.0026000000000000003,-0.0004,-0.028,0.007,-0.109
1701528343.168,19.609,19.609,-19.609,0.0025,0.0026000000000000003,-0.0014,-0.027,0.0,-0.108
1701528343.208,19.609,19.609,-19.609,-0.0005,0.0014,0.0009000000000000001,-0.024,-0.028,-0.10300000000000001
1701528343.248,19.609,19.609,-19.609,0.0027,0.0027,-0.0183,-0.027,-0.022,-0.10400000000000001
1701528343.2879999,19.609,19.609,-19.609,0.0033,0.005200000000000001,0.0149,-0.015,-0.033,-0.109
1701528343.328,19.609,19.609,-19.609,0.0015,0.0004,0.0166,-0.011,-0.05,-0.11
1701528343.368,19.609,19.609,-19.609,-0.00030000000000000003,0.0004,0.0154,0.015,-0.04,-0.113
1701528343.408,19.609,19.609,-19.609,0.0043,0.004200000000000001,-0.0045000000000000005,0.009000000000000001,-0.021,-0.124
1701528343.448,19.609,19.609,-19.609,0.0022,0.0034000000000000002,-0.002,0.005,-0.015,-0.14100000000000001
1701528343.488,19.609,19.609,-19.609,0.002,0.0037,-0.0032,0.008,-0.017,-0.125
1701528343.5279999,19.609,19.609,-19.609,-0.0006000000000000001,0.0013000000000000002,0.001,0.0,-0.036000000000000004,-0.105
1701528343.568,19.609,19.609,-19.609,-0.0006000000000000001,0.0027,0.003,-0.014,-0.035,-0.10200000000000001
1701528343.608,19.609,19.609,-19.609,-0.0001,-0.0001,-0.004,-0.026000000000000002,-0.036000000000000004,-0.089
1701528343.648,19.609,19.609,-19.609,0.0031000000000000003,0.0026000000000000003,0.0037,-0.011,-0.044,-0.088
1701528343.688,19.609,19.609,-19.609,0.0015,0.0021000000000000003,0.0001,0.0,-0.068,-0.1
1701528343.728,19.609,19.609,-19.609,0.0013000000000000002,0.0027,0.0013000000000000002,0.003,-0.062,-0.096
1701528343.768,19.609,19.609,-19.609,0.0019,0.0036000000000000003,0.0024000000000000002,0.016,-0.062,-0.101
1701528343.808,19.609,19.609,-19.609,0.0005,0.0034000000000000002,0.0017000000000000001,0.0,-0.051000000000000004,-0.101
1701528343.848,19.609,19.609,-19.609,0.0,0.0013000000000000002,-0.0006000000000000001,0.0,-0.06,-0.092
1701528343.888,19.609,19.609,-19.609,0.002,0.0026000000000000003,0.002,-0.023,-0.057,-0.1
1701528343.928,19.609,19.609,-19.609,-0.0001,0.0043,-0.0128,-0.001,-0.06,-0.096
1701528343.968,19.609,19.609,-19.609,-0.0004,0.0007,0.007500000000000001,0.001,-0.062,-0.101
1701528344.008,19.609,19.609,-19.609,0.001,0.0004,-0.0017000000000000001,-0.002,-0.047,-0.105
1701528344.048,19.609,19.609,-19.609,0.0023,0.0018000000000000002,0.0028,0.013000000000000001,-0.054,-0.08600000000000001
1701528344.088,19.609,19.609,-19.609,0.0017000000000000001,0.0029000000000000002,-0.0031000000000000003,0.003,-0.07,-0.089
1701528344.128,19.609,19.609,-19.609,0.0011,0.0015,-0.002,0.0,-0.044,-0.098
1701528344.168,19.609,19.609,-19.609,0.0009000000000000001,0.0043,-0.006900000000000001,-0.005,-0.02,-0.097
1701528344.208,19.609,19.609,-19.609,0.00030000000000000003,0.0,0.0077,-0.025,-0.036000000000000004,-0.088
1701528344.248,19.609,19.609,-19.609,0.0012000000000000001,0.0031000000000000003,0.0004,-0.024,-0.03,-0.08600000000000001
1701528344.288,19.609,19.609,-19.609,0.0,0.0017000000000000001,0.0076,-0.012,-0.024,-0.09
1701528344.328,19.609,19.609,-19.609,0.003,0.0008,0.0031000000000000003,-0.02,-0.024,-0.094
