timestamp,ch1
1701527299.769,-10312.379635856109
1701527299.773,-10312.647856789572
1701527299.777,-10317.006446958358
1701527299.7810001,-10314.90538297956
1701527299.785,-10308.713949765439
1701527299.789,-10311.731435266905
1701527299.793,-10321.588554571696
1701527299.7970002,-10316.313542880243
1701527299.801,-10318.235792903399
1701527299.805,-10315.128900424112
1701527299.809,-10314.123071923623
1701527299.813,-10315.128900424112
1701527299.8170002,-10315.508880079851
1701527299.821,-10312.379635856109
1701527299.825,-10309.809185243748
1701527299.829,-10315.687694035494
1701527299.833,-10313.22900214541
1701527299.8370001,-10313.363112612142
1701527299.841,-10316.80528125826
1701527299.845,0.0
1701527299.849,-9835.259298713125
1701527299.853,-9840.199034237747
1701527299.8569999,-9835.795740580052
1701527299.861,-9823.189356707258
1701527299.865,-9829.917231788306
1701527299.869,-9838.768522592607
1701527299.873,-9842.680077872286
1701527299.877,-9844.244699984158
1701527299.881,-9843.842368583963
1701527299.885,-9835.527519646588
1701527299.889,-9828.263202698614
1701527299.893,-9824.865737541406
1701527299.897,-9829.246679454647
1701527299.901,-9828.643182354353
1701527299.905,-9823.546984618544
1701527299.909,-9825.692752086254
1701527299.9129999,-9828.218499209703
1701527299.917,-9839.059095270526
1701527299.921,-9836.890976058361
1701527299.925,-9835.862795813418
1701527299.929,-9836.309830702523
1701527299.9329998,-9835.795740580052
1701527299.9369998,-9840.601365637942
1701527299.941,-9833.940545790261
1701527299.945,-9827.525595131588
1701527299.949,-9836.153368491337
1701527299.9529998,-9838.053266770037
1701527299.957,-9837.986211536672
1701527299.961,-9842.121284260904
1701527299.965,-9836.913327802817
1701527299.9689999,-9836.913327802817
1701527299.9729998,-9837.13684524737
1701527299.977,-9830.319563188501
1701527299.981,-9833.739380090163
1701527299.985,-9845.697563373753
1701527299.9889998,-9841.964822049717
1701527299.9929998,-9832.845310311952
1701527299.997,-9834.454635912733
1701527300.001,-9845.630508140386
1701527300.0049999,-9846.591633151966
1701527300.009,-9837.583880136477
1701527300.013,-9838.366191192412
1701527300.017,-9836.421589424801
1701527300.0210001,-9833.985249279172
1701527300.025,-9829.447845154744
1701527300.029,-9831.213632966714
1701527300.033,-9836.131016746882
1701527300.0370002,-9839.953165048739
1701527300.0410001,-9840.690772615764
1701527300.045,-9842.635374383375
1701527300.049,-9848.737400619675
1701527300.053,-9847.016316296616
1701527300.0570002,-9831.928888789284
1701527300.061,-9831.03481901107
1701527300.065,-9838.477949914688
1701527300.069,-9834.454635912733
1701527300.073,-9832.934717289772
1701527300.0770001,-9832.219461467203
