timestamp,ch1
1701528085.789,-21919.729938474888
1701528085.793,-21913.694967471954
1701528085.797,-21895.52299922979
1701528085.801,-21885.665879925
1701528085.805,-21895.500647485336
1701528085.809,-21892.214941050406
1701528085.813,-21886.023507836286
1701528085.8170002,-21885.799990391733
1701528085.821,-21886.738763658854
1701528085.825,-21880.94966184493
1701528085.829,-21871.316059984692
1701528085.833,-21863.09061802514
1701528085.8370001,-21857.301516211217
1701528085.841,0.0
1701528085.845,-26892.233120469227
1701528085.849,-26899.676251372846
1701528085.853,-26883.717105831758
1701528085.857,-26870.216652180752
1701528085.861,-26872.071846970543
1701528085.865,-26867.869719012942
1701528085.869,-26872.675344070834
1701528085.873,-26877.100989472987
1701528085.8769999,-26889.349745434494
1701528085.881,-26895.250605970694
1701528085.885,-26893.641280369913
1701528085.889,-26889.685021601323
1701528085.893,-26885.840521555012
1701528085.897,-26892.523693147148
1701528085.901,-26902.17964675184
1701528085.905,-26900.816190340065
1701528085.909,-26896.189379237818
1701528085.9129999,-26898.245739727707
1701528085.917,-26897.70929786078
1701528085.921,-26903.878379330443
1701528085.925,-26903.207826996786
1701528085.929,-26895.317661204062
1701528085.9329998,-26884.65587909888
1701528085.937,-26886.35461167748
1701528085.941,-26901.911425818376
1701528085.945,-26898.290443216618
1701528085.949,-26895.317661204062
1701528085.9529998,-26901.576149651548
1701528085.9569998,-26902.961957807776
1701528085.961,-26903.163123507875
1701528085.965,-26898.51396066117
1701528085.9689999,-26887.22632971124
1701528085.9729998,-26882.331297675526
1701528085.977,-26885.70641108828
1701528085.981,-26888.500379145193
1701528085.985,-26888.880358800932
1701528085.9889998,-26883.06890524255
1701528085.9929998,-26883.113608731463
1701528085.997,-26886.868701799955
1701528086.001,-26887.159274477875
1701528086.0049999,-26895.02708852614
1701528086.0089998,-26903.632510141437
1701528086.0129998,-26908.393431710414
1701528086.017,-26907.097030532008
1701528086.021,-26902.716088618767
1701528086.0249999,-26896.07762051554
1701528086.029,-26896.23408272673
1701528086.033,-26897.12815250494
1701528086.037,-26895.205902481786
1701528086.0410001,-26895.161198992875
1701528086.045,-26894.781219337136
1701528086.049,-26894.267129214662
1701528086.053,-26889.685021601323
1701528086.0570002,-26886.309908188574
1701528086.061,-26889.349745434494
1701528086.065,-26894.62475712595
1701528086.069,-26902.246701985205
1701528086.073,-26893.864797814465
1701528086.0770001,-26891.920196046853
1701528086.081,-26893.641280369913
1701528086.085,-26894.289480959116
1701528086.089,-26886.622832610945
1701528086.093,-26883.98532676522
1701528086.0970001,-26884.812341310066
1701528086.101,-26888.03099251163
1701528086.105,-26887.114570988964
1701528086.109,-26887.85217855599
1701528086.113,-26894.46829491476
1701528086.1169999,-26900.883245573434
1701528086.121,-26900.972652551252
1701528086.125,-26899.36332695047
1701528086.129,-26897.28461471613
1701528086.133,-26892.009603024675
1701528086.137,-26896.03291702663
1701528086.141,-26899.452733928294
1701528086.145,-26895.943510048808
1701528086.149,-26900.57032115106
1701528086.1529999,-26902.581978152037
1701528086.157,-26905.778277609144
1701528086.161,-26911.165048022875
1701528086.165,-26904.638338641926
1701528086.169,-26900.32445196205
1701528086.1729999,-26903.811324097078
1701528086.177,-26911.03093755614
1701528086.181,-26909.086335788532
1701528086.185,-26898.55866415008
1701528086.189,-26888.61213786747
1701528086.1929998,-26888.008640767177
1701528086.1969998,-26887.673364600345
1701528086.201,-26890.847312313
1701528086.205,-26901.240873484716
1701528086.2089999,-26898.603367638992
1701528086.2129998,-26892.858969313977
1701528086.217,-26895.02708852614
1701528086.221,-26893.484818158726
1701528086.225,-26887.628661111434
1701528086.2289999,-26887.449847155793
1701528086.2329998,-26886.823998311043
1701528086.237,-26892.92602454734
1701528086.241,-26894.244777470205
1701528086.245,-26898.17868449434
1701528086.2489998,-26895.65293737089
1701528086.2529998,-26893.03778326962
1701528086.257,-26897.597539138504
1701528086.261,-26900.503265917694
1701528086.2649999,-26904.638338641926
1701528086.269,-26906.94056832082
1701528086.273,-26914.048423057608
1701528086.277,-26910.740364878224
1701528086.2810001,-26899.430382183837
1701528086.285,-26904.258358986182
1701528086.289,-26911.18739976733
1701528086.293,-26909.890998588922
1701528086.2970002,-26903.319585719062
1701528086.301,-26903.006661296688
1701528086.305,-26902.961957807776
1701528086.309,-26906.89586483191
1701528086.313,-26913.780202124144
1701528086.3170002,-26910.98623406723
1701528086.321,-26899.676251372846
1701528086.325,-26895.094143759507
1701528086.329,-26902.023184540652
1701528086.333,-26903.967786308265
1701528086.3370001,-26907.409954954383
1701528086.341,-26903.766620608167
1701528086.345,-26891.56256813557
1701528086.349,-26886.37696342194
1701528086.353,-26889.528559390135
1701528086.3569999,-26901.956129307287
1701528086.361,-26908.61694915497
1701528086.365,-26910.22627475575
1701528086.369,-26913.04259455712
1701528086.373,-26912.930835834843
1701528086.377,-26911.7014898898
1701528086.381,-26907.454658443294
1701528086.385,-26910.069812544563
1701528086.389,-26910.56155092258
1701528086.393,-26909.689832888824
1701528086.397,-26904.526579919646
1701528086.401,-26903.252530485694
1701528086.405,-26909.62277765546
1701528086.409,-26905.599463653503
1701528086.4129999,-26908.639300899424
1701528086.417,-26907.94639682131
1701528086.421,-26905.778277609144
1701528086.425,-26902.067888029564
1701528086.429,-26909.890998588922
1701528086.4329998,-26914.74132713572
1701528086.4369998,-26918.6528824154
1701528086.441,-26913.93666433533
1701528086.445,-26907.924045076856
1701528086.449,-26905.89003633142
1701528086.4529998,-26911.09799278951
1701528086.457,-26909.98040556674
1701528086.461,-26909.689832888824
1701528086.465,-26907.27584448765
1701528086.4689999,-26910.695661389313
1701528086.4729998,-26910.628606155948
1701528086.477,-26912.930835834843
1701528086.481,-26912.550856179103
1701528086.485,-26913.981367824243
1701528086.4889998,-26926.43128948585
1701528086.4929998,-26931.840411644032
1701528086.497,-26929.58288545405
1701528086.501,-26925.22429528526
1701528086.5049999,-26916.730632392246
1701528086.509,-26906.001795053697
1701528086.513,-26913.020242812665
1701528086.517,-26914.56251318008
1701528086.5210001,-26911.790896867624
1701528086.525,-26909.823943355554
1701528086.529,-26904.571283408557
1701528086.533,-26909.8015916111
1701528086.5370002,-26915.031899813643
1701528086.5410001,-26914.875437602455
1701528086.545,-26918.67523415986
1701528086.549,-26920.9551120943
1701528086.553,-26923.81613538458
1701528086.5570002,-26924.821963885068
1701528086.561,-26926.006606341198
1701528086.565,-26926.319530763572
1701528086.569,-26926.386585996937
1701528086.573,-26924.37492899596
1701528086.5770001,-26921.536257450138
1701528086.581,-26918.80934462659
1701528086.585,-26915.076603302554
1701528086.589,-26919.7034144048
1701528086.593,-26920.50807720519
1701528086.597,-26914.607216668992
1701528086.601,-26910.04746080011
1701528086.605,-26912.08146954554
1701528086.609,-26918.27290275966
1701528086.613,-26912.46144920128
1701528086.617,-26914.249588757706
1701528086.621,-26906.672347387357
1701528086.625,-26906.38177470944
1701528086.629,-26909.689832888824
1701528086.633,-26909.823943355554
1701528086.637,-26915.38952772493
1701528086.641,-26911.03093755614
1701528086.645,-26903.811324097078
1701528086.649,-26906.33707122053
1701528086.6529999,-26907.722879376757
1701528086.657,-26908.32637647705
1701528086.661,-26907.432306698836
1701528086.665,-26907.655824143392
1701528086.669,-26909.13103927744
1701528086.6729999,-26911.9026555899
1701528086.6769998,-26915.14365853592
1701528086.681,-26916.887094603433
1701528086.685,-26915.769507380668
1701528086.689,-26910.13686777793
1701528086.6929998,-26909.689832888824
1701528086.697,-26909.578074166548
1701528086.701,-26905.89003633142
1701528086.705,-26901.33028046254
1701528086.7089999,-26902.760792107678
1701528086.7129998,-26904.861856086478
1701528086.717,-26914.495457946716
1701528086.721,-26916.70828064779
1701528086.725,-26915.12130679146
1701528086.7289999,-26904.7500973642
1701528086.7329998,-26899.51978916166
1701528086.737,-26904.191303752817
1701528086.741,-26904.70539387529
1701528086.745,-26918.60817892649
1701528086.749,-26923.36910049547
1701528086.753,-26914.74132713572
1701528086.757,-26902.447867685303
1701528086.7610002,-26898.536312405624
1701528086.765,-26894.200073981297
1701528086.769,-26895.27295771515
1701528086.773,-26890.377925679437
1701528086.7770002,-26892.07665825804
1701528086.7810001,-26886.80164656659
1701528086.785,-26881.616041852958
1701528086.789,-26891.361402435472
1701528086.793,-26891.584919880024
1701528086.7970002,-26884.454713398783
1701528086.801,-26887.114570988964
1701528086.805,-26889.305041945583
1701528086.809,-26889.03682101212
1701528086.813,-26889.774428579145
1701528086.8170002,-26894.37888793694
1701528086.821,-26885.57230062155
1701528086.825,-26886.086390744018
1701528086.829,-26892.210768724774
1701528086.833,-26893.887149558923
1701528086.837,-26901.866722329465
1701528086.841,-26902.403164196392
1701528086.845,-26896.85993157148
1701528086.849,-26897.061097271577
1701528086.853,-26899.51978916166
1701528086.857,-26895.161198992875
1701528086.861,-26901.46439092927
1701528086.865,-26900.12328626195
1701528086.869,-26896.256434471183
1701528086.873,-26893.93185304783
1701528086.877,-26892.7472105917
1701528086.881,-26895.921158304354
1701528086.885,-26887.338088433517
1701528086.889,-26886.93575703332
1701528086.893,-26886.93575703332
1701528086.897,-26882.241890697707
1701528086.901,-26881.258413941672
1701528086.905,-26887.673364600345
1701528086.909,-26893.93185304783
1701528086.9129999,-26889.46150415677
1701528086.9169998,-26884.14178897641
1701528086.921,-26885.728762832736
1701528086.925,-26885.57230062155
1701528086.929,-26885.37113492145
1701528086.9329998,-26880.99019300821
